uid, ndata, create_baseline, create_edna, decay, undecay, delete, restore, baseline
11751, 4, 102, 266, 8786, 20513, 11097, 22897, 5666
11801, 2, 101, 273, 6275, 14083, 8382, 15533, 3776
11851, 1, 103, 238, 6231, 15772, 7892, 18519, 3455
11901, 2, 99, 236, 6713, 35847, 8715, 17529, 3986
11951, 2, 104, 246, 6344, 15917, 7644, 15406, 3622
12001, 3, 104, 259, 8242, 17974, 10068, 19821, 4982
12051, 3, 106, 297, 7491, 17691, 9443, 19809, 4628
12101, 4, 105, 244, 8148, 19006, 9941, 24607, 4839
12151, 5, 96, 233, 8628, 18317, 10483, 21082, 5352
12201, 4, 104, 237, 7773, 20051, 9757, 19931, 4775
12251, 4, 104, 241, 8858, 21262, 10257, 23513, 5254
12301, 1, 106, 279, 5832, 14677, 7147, 15498, 3234
12351, 4, 104, 238, 8733, 20108, 10461, 26012, 5279
12401, 2, 96, 236, 7118, 17607, 8610, 18507, 4202
12451, 2, 102, 234, 6294, 16826, 8101, 16040, 3632
12501, 4, 118, 262, 8314, 19403, 10171, 21877, 5031
12551, 3, 103, 275, 7820, 17871, 9692, 20115, 5062
12601, 2, 104, 243, 6777, 16973, 8606, 20815, 4357
12651, 3, 103, 265, 7945, 17830, 9114, 21644, 4624
12701, 4, 118, 272, 8764, 23187, 10266, 23377, 6038
12751, 1, 104, 277, 6198, 17113, 7391, 17707, 3422
12801, 0, 114, 286, 5190, 13668, 5721, 14653, 2596
12851, 3, 108, 245, 7792, 17399, 9170, 21018, 4661
12901, 4, 104, 240, 8765, 21386, 10118, 22957, 5258
12951, 4, 108, 253, 8603, 21750, 10166, 22149, 5046
13001, 4, 116, 271, 8841, 21602, 10082, 21810, 5466
13051, 4, 116, 288, 8579, 19768, 10035, 24931, 5336
13101, 2, 110, 258, 6491, 15741, 7535, 17486, 3839
13151, 4, 114, 263, 8844, 20907, 10258, 39378, 5573
13201, 2, 121, 292, 7800, 18577, 8917, 17937, 4537
13251, 4, 104, 282, 8548, 18658, 10032, 22442, 5741
13301, 4, 106, 281, 8308, 19004, 9368, 24053, 5118
13351, 7, 112, 277, 10261, 21402, 12039, 28600, 7668
13401, 10, 111, 252, 12715, 29243, 14414, 36106, 8442
13451, 11, 109, 274, 12503, 29856, 14562, 32746, 9601
